Programme,Acronym,Project Title,Abstract,Researcher(s),Host Institution(s),Country,Region,Project Number,Call,Grant Type,Domain,Panel,Call Year,Start Date,End Date,EU contribution,CORDIS Link
Horizon 2020,ReadCalibration,"Phonemic representations in speech perception and production: Recalibration by reading
acquisition","The main goal of this project is to demonstrate that reading acquisition (RA) drastically reshapes our phonemic inventory, and to investigate the time-course and fine-grained properties of this recalibration. The main innovative and ground-breaking aspect of this project is the merging of two research fields, (1) reading acquisition and (2) phonemic recalibration, together with a deep and extensive exploration of the (3) perception-production link, which results in a new research line that pushes the boundaries of our understanding of the complex interactions between auditory and visual language perception and production. 

We will demonstrate that phonemic representations (PRs) become more stable (less dispersed) during the process of learning to read, and that this recalibration varies according to the grapheme-phoneme conversion rules of the reading system. We will explore such recalibration by means of the first cross-linguistic longitudinal study examining the position and dispersion of PRs, both in perception and production of phonemes and words. Secondly, we will explore how recalibration develops when RA is impaired as is the case in dyslexic children –informing the research field on (4) dyslexia– and when pre-reading PRs are unstable as is the case in deaf children with cochlear implants –informing the research field on (5) deafness. Finally, the research will also be extended to PR recalibration during RA in a second language –informing the research on (6) bilingualism.

 This proposal provides the first systematic investigation of phonemic recalibration during literacy acquisition, and will provide important insight for pragmatic research and theoretical accounts of language perception and production and phonemic recalibration. This project will also have major implications for the clinical field (theories and remediation of dyslexia and deafness) and for social policies and education (bilingualism, spoken and written language teaching).
","Clara, Dominique, Sylvie Martin","BCBL Basque Center on Cognition, Brain and Language [996120064,ES]",Spain,Noreste (ES2),819093,ERC-2018-COG,Consolidator Grants,Social sciences & humanities (SH),SH4 - The Human Mind and its Complexity,2018,2019-10-01 00:00:00,2025-09-30 00:00:00,1875000,https://cordis.europa.eu/project/id/819093
Horizon 2020,JOINTATT,The evolutionary and developmental origins of Joint Attention: a longitudinal cross-species and cross-cultural comparison,"Humans frequently coordinate and share attention about objects and events. Our basic ability to engage in joint attention (JA) is thought to underpin our uniquely complex cooperation skills and language, raising the possibility that the emergence of JA was a ‘small change that made a big difference’ in the evolution of human cognition. Despite the theoretical importance of JA for understanding human social cognition, we know surprisingly little about JA across species and cultures.  Methodological shortcomings limit our understanding of the extent to which JA is uniquely human or shared with our primate cousins, and we lack data on how this ability develops in non-western cultures, which aspects of the social environment are necessary for JA to emerge and how JA is related to the emergence of cooperation. The JOINTATT project will address these four key issues by collecting longitudinal data on mother-infant dyads over the first 2 years of the infant’s life, across four different study groups: Ugandan and British humans; wild chimpanzees and crested macaque monkeys. The project will develop novel tasks and measures that allow the same set of data to be collected in directly comparable ways across species and provide the first valid, rigorous test of whether engagement in JA is a uniquely human trait. Data from the two human groups will test how different elements of JA are related and whether JA develops in a uniform way across cultures. Longitudinal data on mother-infant interactions and the infant’s environment will be related to performance on JA tasks across all four groups, enabling us to identify conditions that are likely necessary for JA to emerge. Performance on JA and cooperative tasks will be compared to assess whether engagement in JA predicts the later emergence of cooperation. This project will provide ground-breaking insights into JA and its evolutionary origins, and is likely to challenge current theories of how human social cognition evolved.",Kathryn Elizabeth Slocombe,"University of York [999978336,UK]",United Kingdom,-,724608,ERC-2016-COG,Consolidator Grants,Social sciences & humanities (SH),SH4 - The Human Mind and its Complexity,2016,2017-07-01 00:00:00,2022-12-31 00:00:00,1989611,https://cordis.europa.eu/project/id/724608
Horizon 2020,TRANS-ID,"TIME FOR A CHANGE: 
An out-of-the-box approach to unravel transitions in depression
","Major Depression (MD) is often chronic and characterized by frequent recurrences of symptoms and burden. The need to better understand how and when relevant transitions in symptoms occur is urgent. A seemingly unsolvable scientific problem is the enormous etiological complexity of mental disorders such as MD, involving continuously ongoing gene-environment interactions that act in highly person-specific ways. This hampers accurate assessment of personalized risk. 
I will use an out-of-the-box and interdisciplinary approach to tackle this problem. MD is not the only phenomenon that is influenced by many factors, is unpredictable and makes sudden transitions. This is also the case for other so-called complex dynamical systems such as climate or water quality of lakes. For the latter systems generic early warning signals (EWS) have been found that indicate the approach of a transition. I hypothesize that transitions in mood can be anticipated using the same generic EWS as reported for other complex dynamical systems. 
Finding direct evidence for this hypothesis requires a completely novel approach in the field of psychiatry, which would involve (i) a design that captures data of the complete dynamic process within a single individual in order to detect the timing of EWS and sudden transitions in symptoms, prospectively and intra-individually, and (ii) frequent replications of these individual experiments. With help of recent technology and my acquired expertise I will use precisely this novel approach to search for personalized EWS that anticipate critical transitions in depression. This is the aim of my project.
Evidence that transitions in mood behave according to principles of complex dynamical systems would change the field majorly. First, it would lead to a new understanding of mental disorders and the way we study them. Second, it would yield a sophisticated novel way of obtaining personalized and clinically relevant information on risk for transitions.
",Maria Catharina Wichers,"University Medical Center Groningen [999914801,NL]",Netherlands,Noord-Nederland (NL1),681466,ERC-2015-COG,Consolidator Grants,Social sciences & humanities (SH),SH4 - The Human Mind and its Complexity,2015,2016-08-01 00:00:00,2021-07-31 00:00:00,1994076,https://cordis.europa.eu/project/id/681466
Horizon 2020,KINSHIP,How do humans recognise kin?,"Kinship moderates important social outcomes, such as interpersonal violence and sexual behaviour, but how do you know who your kin are? On the surface, this appears to be a simple question, but the specific cues and cognitive systems that mediate these complex relationships are yet to be understood. This pioneering project will combine biological theories regarding the essential role of kinship in regulating social and sexual behaviour with advanced methods from experimental psychology, genetics, acoustics, computer graphics and experimental economics, to develop and test the first comprehensive model of human kin recognition._x000D__x000D_Early research on human kin recognition typically investigated the effect of a single kinship cue on one domain of behaviour and in one relationship type. For example, research on the Westermarck Effect focusses on the effect of co-residence on sexual aversion among siblings. The proposed project will investigate a diverse range of potential kinship cues (e.g., contextual, phenotypic and cognitive), both relevant behavioural domains (i.e., prosocial and sexual), and several relationship types (e.g., primary and secondary; consanguine, affine and adoptive). The resulting model will allow for complex interactions, such as conditional or domain-specific cue use, that are suggested by work on kin recognition in other species. This, in turn, will allow for a greater understanding of the mechanisms underpinning how humans recognise and respond to kin. _x000D__x000D_The project will also produce a quantitative model of how family resemblance is expressed in the face, which will be used to develop novel methodologies for assessing family resemblance from face images and experimentally creating realistic and biologically plausible “virtual relatives” using computer graphics.",Lisa Marie De Bruine,"University of Glasgow [999974165,UK]",United Kingdom,-,647910,ERC-2014-COG,Consolidator Grants,Social sciences & humanities (SH),SH4 - The Human Mind and its Complexity,2014,2015-10-01 00:00:00,2021-09-30 00:00:00,1984776,https://cordis.europa.eu/project/id/647910
Horizon 2020,SCANS,Social Cognition in Adolescents: Brain Networks and Social Networks,"The forming of social bonds is an evolutionary imperative, and a rich target for empirical research. Social scientists have scrutinized the structure of the elaborate social networks that characterize today’s society. Neuroscientists have elucidated the brain mechanisms underlying our ability to navigate this social world. Yet, these research lines have been largely separated. This proposal aims to integrate social network research and social brain research, focusing on adolescence as the most dynamic phase shaping the interplay between social networks and the social brain. Social development in adolescents is clearly driven by maturation of specific social-cognitive functions; yet these functions are manifest in, and moulded by, interpersonal relationships within social networks. I aim to clarify how changes in the social brain relate to changes in social network position and structure during adolescent development. This can be achieved by using the quantitative tools of social network analysis in conjunction with the experimental approach of social neuroscience. I plan to investigate a cohort of approximately 1000 adolescents nested in 50 classes in a longitudinal design with 6 measurements over 3 years; fMRI investigating task-related functional activation and connectivity is conducted yearly in a subsample of 100. The neural and behavioural correlates of social cognition are investigated using experimental tasks tapping i) understanding others and ii) interacting with others; social behaviour is charted through ecological momentary assessment techniques; social networks are mapped using surveys and digital information acquired routinely via mobile phones (mobile sensing). This approach clarifies how during a crucial developmental phase the social brain shapes the social environment, and vice versa, the social environment influences maturation of the social brain.",Alberdina Cornelia Krabbendam,"Free University and Medical Center Amsterdam (VU-VUmc) [954530344,NL]",Netherlands,West-Nederland (NL3),648082,ERC-2014-COG,Consolidator Grants,Social sciences & humanities (SH),SH4 - The Human Mind and its Complexity,2014,2016-02-01 00:00:00,2022-01-31 00:00:00,1998655,https://cordis.europa.eu/project/id/648082
Horizon Europe,ARTDETECT,A New Connoisseurship: Smart ways to detect forgeries,"Although scientific methods to analyze cultural heritage are being developed rapidly, research in the field of forgery detection (art created with the intent to deceive) is too fragmentary and discipline-bound to face the current scholarly confusion and information overload. This project lays the intellectual foundation for a new type of connoisseurship, building on the latest developments in (technical) art history and data science. Art historians are used to focus on the past and the present. This project will allow art experts –for the first time– to face forward and predict high risks. The goal is to first generate fundamental new insights into significant anomalies that betray forged paintings (as well as into key characteristics of comparable originals); secondly, to develop ‘thin-slicing’ tools, i.e. computer programs and checklists that help to quickly and effectively select potential forgeries for in-depth analysis; and ultimately, to give connoisseurship a new reach and relevance through the novel, integrated approach to assess, categorize and interpret paintings. 

	Despite the great importance of connoisseurship for art history (providing the basic classification of who created what and when, information essential for virtually all interpretative studies in this field), its methodology has not kept abreast with innovative multi-disciplinary approaches to collaboration among experts in different fields of inquiry. The 21st century has witnessed major breakthroughs in thinking about authenticity within art history; the scientific methods and technical means to examine artworks have improved tremendously; and data science and data visualization techniques allow us to think on an unprecedented scale. Building on classified research for the French Ministry of Justice, two recent Dutch Research Council (NWO) projects and extensive experience, I am in a unique position to forge effective multi-disciplinary collaborations and spearhead this project.",Johanna Tummers,"Ghent University [999986096,BE]",Belgium,Vlaams Gewest (BE2),101088056,ERC-2022-COG,Consolidator Grants,Social sciences & humanities (SH),SH5 - Cultures & Cultural Production,2022,2024-01-01 00:00:00,2028-12-31 00:00:00,1999430,https://cordis.europa.eu/project/id/101088056
Horizon Europe,THEAGENT,Theatre and Gentrification in the European City,"Since the European Middle Ages, the fates of theatre and the city have been intertwined. Mystery plays thrived amidst the urban guilds of medieval Paris, city comedies heralded merchant capitalism in seventeenth-century London, and Ottoman shadow puppetry shaped coffeehouse culture in nineteenth-century Istanbul. The emergence of the modern European city in particular was linked to the development of both state-sponsored and independent theatre institutions; theatre and performance practices drew on the human proximity that city living made possible, and shaped the visions of cultural heterogeneity that emerged from urban cohabitation. Today, unprecedented dynamics of migration, globalization, and rapid gentrification are fundamentally changing theatre’s importance in the urban environment. Theatre and performance practices are all but absent from urban studies, however, and theatre scholarship often views the urban question through a limited analytic lens.
Combining multi-sited ethnographic and archival research, this interdisciplinary research project will focus on the key cities of London, Paris, Berlin, Warsaw and Istanbul to analyze the complicated and often ambivalent relationship between theatre practices and urban transformation in twenty-first-century Europe. Following key thematic threads like migration and memory, Theatre and Gentrification’s original case studies will illustrate the diversity of property relations and housing tenure across the European continent, as well as the complex roles that theatre and performance practices play in producing urban subjectivities and structuring the cultural politics of gentrification. Groundbreaking in its use of theatre as its vantage point, this ambitious project will change the way we think about the contradictions of culture in the twenty-first century city, from its role in securing claims to global urban stature, to its position within imaginaries of authentic local resistance.

",Emine Fisek Turem,"Austrian Academy of Science (AAS) [999823912,AT]",Austria,Ostösterreich (AT1),101043740,ERC-2021-COG,Consolidator Grants,Social sciences & humanities (SH),SH5 - Cultures & Cultural Production,2021,2023-09-01 00:00:00,2028-08-31 00:00:00,1843311,https://cordis.europa.eu/project/id/101043740
Horizon 2020,DigiScore,Digital Scores – investigating the technological transformation of the music score,"Digital scores utilising computational technology and digital media are emerging worldwide as the next evolutionary stage in the concept of the music score (Vear 2019). Yet there has been no scientific study of digital scores; nor their effect upon creativity and musicianship. This is remarkable for two reasons:  First, because digital scores are generating new music experiences, innovative compositional approaches, novel performance opportunities, and broader accessibility for a vast number of musicians and music cultures around the world.  Second, because many topics immediately adjacent or informing digital scores have been theorised thereby liberating these subjects and innovating creative practices, e.g. digital media art, digital performance, electro-acoustic music.  This project will launch the first scientific investigation into the transformation of the music score through computational technologies.  The core aims of the project are to:          (1) determine scientific knowledge of how digital scores stimulate new creative opportunities and experiences within a range of music practices,          (2) develop a theoretical framework for digital scores as an important transdisciplinary area of research,           (3) build a scientific study of inclusive digital musicianship through the transformative potential of the digital score.  This project will investigate these questions through an innovative combination of artistic and scientific research methods, undertaken by a transdisciplinary and international team of scientists and artists, led by a world expert of digital scores: Prof. Dr. Craig Vear. This is real “frontier research”, the benefits of which extend beyond music studies into computer science, new media research, digital humanities, performance studies and creative practice.",Anthony Craig Vear,"University of Nottingham [999976978,UK]",United Kingdom,-,101002086,ERC-2020-COG,Consolidator Grants,Social sciences & humanities (SH),SH5 - Cultures & Cultural Production,2020,2021-10-01 00:00:00,2026-09-30 00:00:00,1999985,https://cordis.europa.eu/project/id/101002086
Horizon 2020,INTENT,Intelligent Instruments: Understanding 21st-Century AI Through Creative Music Technologies,"Artificial Intelligence is becoming increasingly human-like and it is now proficient in a key human activity: musical creativity. But what does this mean? How does creative AI change our notions of art, culture and society? As new machine learning technologies begin to mirror ourselves, we need to look into that mirror and ask how AI is changing us. This project takes a pioneering leap in research about AI by answering how new creative AI transforms our relationships with technology and other people.

This ambitious vision is achieved by using music as a platform to establish public understanding of AI. Through technology development we will create the conditions to study higher level theoretical questions on the meaning of creative AI in contemporary culture. Three respective work packages will develop: 1) instruments with creative AI; 2) human-AI collaboration in music; and 3) sonic instruments as scientific instruments. The project initiates a public discourse on creative AI and develops a theoretical framework describing the transformed notions of self, others and knowledge when we adopt intelligent instruments in our work.

INTENT is interdisciplinary in nature. Applying the methodology of our new research collaboration protocol, we summon researchers from diverse disciplines to conduct frontier science on intelligent instruments as boundary objects. Through open science methods the outcomes will address: a) the role of creative AI in embodied technologies, and b) the understanding and reflection of artificial intelligence in future society. Grounded equally in technology development and the humanities, the project will benefit diverse disciplines by developing a theoretical framework of creative AI, initiating a discourse around human-centred creative AI, and defining principles of human-AI relations in services and products.",Thorhallur Magnusson,"Iceland University of the Arts [950429378,IS]",Iceland,-,101001848,ERC-2020-COG,Consolidator Grants,Social sciences & humanities (SH),SH5 - Cultures & Cultural Production,2020,2021-09-01 00:00:00,2026-08-31 00:00:00,1999460,https://cordis.europa.eu/project/id/101001848
Horizon 2020,MUSAiC,Music at the Frontiers of Artificial Creativity and Criticism,"Artificial intelligence (AI) is an especially disruptive technology, impacting a growing number of domains in ways both beneficial and detrimental. It is even showing surprising impacts in the Arts, provoking questions fundamental to philosophy, law, and engineering, not to mention practices in the Arts themselves. MUSAiC is an interdisciplinary research venture confronting questions and challenges at the frontier of the AI disruption of music. It aims to analyze, criticize and fundamentally broaden the AI transformation of three interrelated music practices: 1) listening, 2) composition and performance, and 3) analysis and criticism. For each practice, and grounded in two specific music traditions (Irish and Swedish), MUSAiC will document and critically analyze the impacts of and ethical issues surrounding AI. MUSAiC will formulate and implement the first music pedagogy for AI, the lack of which continues to result in the creation of AI systems that have only a surface knowledge of music. From this pedagogy, MUSAiC will develop new holistic methods for understanding and benchmarking AI, and improving them and their application. It will implement and test novel AI systems that dynamically adapt to specific users as “digital apprentices”, thus bringing human-AI music partnerships to new levels of fruitfulness. The outcomes of MUSAiC will facilitate applications of AI to music in robust and responsible ways, impacting a wide variety of stakeholders. It will not only prepare music practitioners and audiences of the present (human and artificial) for new ways of listening, working, appraising, and developing the art form, but will also pave the way for analyzing, criticizing and broadening the AI transformation of the other Arts. The PI, a leading figure in music AI and music informatics, is employed at a world-leading research department at the top-rated technical university in Sweden. He is also a composer, frequently illustrating his research outcomes through music.",Bobby Lee Townsend Sturm Jr,"Royal Institute of Technology (KTH) [999990946,SE]",Sweden,Östra Sverige (SE1),864189,ERC-2019-COG,Consolidator Grants,Social sciences & humanities (SH),SH5 - Cultures & Cultural Production,2019,2020-10-01 00:00:00,2025-09-30 00:00:00,1997918,https://cordis.europa.eu/project/id/864189
Horizon 2020,SoundKnowledge,Sound Knowledge: Alternative Epistemologies of Music in the Western Pacific Island World,"SoundKnowledge aims to rethink, for the first time, music in terms of the procedural knowledge inherent in and specific to music-making by exploring music-making as knowledge practices in Micronesia, Western Pacific Island world. This knowledge, formed in the performance of musical practice, may prove to be key to survival in the complex postcolonial predicament of Micronesia. I will address the issues of climate change, social alienation and postcolonial trauma in specific parts of Micronesia by fleshing out the nature and dynamics of that knowledge both conceptually and ethnographically. The systematic analysis of music as knowledge will allow me to identify strategies to foster resilience in the face of these urgent crises. At the same time, it will offer a first-of-its-kind theorization of the procedural knowledge inherent in and specific to music-making.

The knowledge of music is self-referential and forms multilayered connections and ruptures with pasts, presents and futures and surrounding orders of knowledge. SoundKnowledge asks what Western Pacific musical practices know and how do they know it, how music-making makes this knowledge operable and how humans mobilize upon this knowledge in coping with their life-world through music. The project, therefore, explores how music functions as a distinct epistemic form that is often referred to as the proverbial power of music. Music research has the tools to unlock this power, and SoundKnowledge intends to plough a path here.

SoundKnowledge provides insights into the specific knowledge of Western Pacific music in its entanglement with pressing cultural and social issues of the early 21st century. In contributing to the theoretical debate on the knowledge of music, the project probes vital questions of knowledge resources and human futures. SoundKnowledge will also instigate change: In collaboration with local institutions, the research results will be used towards the development of community action strategies.",Birgit Abels-Eisenlohr,"University of Goettingen [999845640,DE]",Germany,Niedersachsen (DE9),862367,ERC-2019-COG,Consolidator Grants,Social sciences & humanities (SH),SH5 - Cultures & Cultural Production,2019,2020-04-01 00:00:00,2026-09-30 00:00:00,1964136,https://cordis.europa.eu/project/id/862367
Horizon 2020,HANDMADE,Handmade: Understanding Creative Gesture in Pottery Making,"
Human beings have always relied on the skills of the hand for exploring their creative potential. The process of making by hand lies at the intersection between embodied cognition and material culture – linking the plasticity of the brain to the incredibly variety of bodily techniques, materials and forms of material culture. Still, the full creative dimensions of this process as well as the changing relationship of the human hand with past and present material culture are not well understood and require cross-disciplinary research. This project aims to fill this gap in our knowledge focusing on one specific material with long archaeological history and cross-cultural significance, i.e., clay and the craft of ceramics. The morphogenetic potential and plasticity of clay offers a unique kinaesthetic resource for studying the creative ecology of handmaking and exploring questions about skill, memory, distributed intelligence, material agency, tradition and innovation. Our plan is to study pottery making at first hand through sustained multi-sited participant observation in several traditional ceramic workshops spread around mainland Greece and the Islands. We will use a combination of methods from anthropology, archaeology and embodied cognitive science to record, measure, describe, compare and analyse the exact ways by which craft practitioners use their hands to produce a variety of material forms. We shall be collecting our data using extensive video recording, photography as well as through semi-structured interviews and interaction analysis. Our research procedure, grounded on material engagement theory, is designed to facilitate a heightened responsiveness to the details of action and the properties of the materials and the tools involved. Our broader aim is to use our knowledge about the creative entanglement of the hand and the clay and lay down the basic conceptual foundation for an archaeology of handmaking over the long term.



",Lampros Malafouris,"University of Oxford [999984350,UK]",United Kingdom,-,771997,ERC-2017-COG,Consolidator Grants,Social sciences & humanities (SH),SH5 - Cultures & Cultural Production,2017,2018-04-01 00:00:00,2025-01-31 00:00:00,1889292,https://cordis.europa.eu/project/id/771997
FP7,ChinaCreative,From Made in China to Created in China - A Comparative Study of Creative Practice and Production in Contemporary China,"With its emergence as a global power, China aspires to move from a “made in China” towards a “created in China” country. Creativity and culture have become a crucial source for innovation and financial growth, but are also mobilised to promote a new and open China to both the citizenry as well as the outside world. They are part of what is termed China’s “soft power.”  _x000D_What does creativity mean in the context of China, and what does it do? When both the state and profoundly globalised creative industries are so deeply implicated in the promotion of creativity, what are the possibilities of criticality, if any? Whereas creativity has been extensively researched in the fields of psychology, law and neurosciences, scholarship in the humanities has by and large side-tracked the thorny issue of creativity. Yet, the worldwide resurgence of the term under the banner of creative industries makes it all the more urgent to develop a theory of creativity. This project understands creativity as a textual, a social as well as a heritage practice. It aims to analyse claims of creativity in different cultural practices, and to analyse how emerging creativities in China are part of tactics of governmentality and disable or enable possibilities of criticality. _x000D_Using a comparative, multi-disciplinary, multi-method and multi-sited research design, five subprojects analyse (1) contemporary art, (2) calligraphy, (3) independent documentary cinema, (4) television from Hunan Satellite TV and (5) “fake” (shanzhai) art. By including both popular and high arts, by including both more Westernized as well as more specifically Chinese art forms, by including both the “real” as well as the “fake,” by studying different localities, and by mobilising methods from both the social sciences and the humanities, this project is pushing the notion of comparative research to a new level.",Bastiaan Jeroen De Kloet,"University of Amsterdam [999985708,NL]",Netherlands,West-Nederland (NL3),616882,ERC-2013-COG,Consolidator Grants,Social sciences & humanities (SH),SH5 - Cultures & Cultural Production,2013,2014-09-01 00:00:00,2019-08-31 00:00:00,1947448,https://cordis.europa.eu/project/id/616882
Horizon Europe,PLUNDERED LIVES,Intimate Dispossession: The Afterlives of Plundered Jewish Personal Possessions in the Aftermath of the Holocaust,"This project aims to write the history of the great plunder of small things—everyday household objects, and personal items, including clothing, looted on a mass-scale by local non-Jews during, and in the aftermath of, the Holocaust. While historical research has focused on the top-down and centralized Nazi state’s takeover of Jewish financial assets, real estate, businesses, or art objects, we know nothing about the afterlives of unmarked objects of daily use that changed hands in the course of the Holocaust and continued being used for decades in the small local communities of East-Central Europe. The main objectives of the project are to document different modes of how Jewish personal possessions were appropriated by non-Jewish local populations of East-Central European shtetls; examine how they have been redeployed, adapted, and misused by their new owners; and assess the social and psychological trans-generational impact of this kind of plunder on the communities of both the beneficiaries and the victims. Breaking with the top-down view on Holocaust dispossession, this project focuses on eight microstudies of communities located in three different administrative units of German-occupied East-Central Europe. PLUNDERED LIVES’ novelty is in a combination of a microhistorical analysis with qualitative approaches of social studies and social psychology; extending the typical time frame (1939-1945) to include dispossession practices that continued after WWII; and experimental outreach strategies of digital crowdsourcing, curatorial interventions in public spaces, and cross-generational interviewing to elicit responses from the implicated communities and document hitherto inaccessible material in private possession. Highly interdisciplinary, PLUNDERED LIVES will open avenues for future research into the fields of genocide studies, anthropology of conflict, social psychology, economic history and forensic studies.",Magdalena Waligórska-Huhle,"Humboldt University of Berlin [999850781,DE]",Germany,Berlin (DE3),101124323,ERC-2023-COG,Consolidator Grants,Social sciences & humanities (SH),SH6 - The Study of the Human Past,2023,2024-04-01 00:00:00,2029-03-31 00:00:00,1999888,https://cordis.europa.eu/project/id/101124323
Horizon Europe,PresentDead,The Present Dead: Investigating Interactions with the Dead in Early Medieval Central and Eastern Europe from 5th to 8th Centuries CE,"The project aims to investigate the practical, mental and emotional dimensions of human interactions with the materials of the dead (graves, human remains and artefacts) in early medieval central and eastern Europe (5th to 8th centuries CE). Based on archaeological and textual evidence, diverse contexts of contact will be investigated through an innovative approach combining cutting-edge scientific methods, technical solutions and new theoretical approaches. The project’s working hypothesis is that perspectives on interaction with the materials of the dead will vary with the ritual stages of funerals.

Early medieval cemeteries comprise of up to hundreds of graves where corpses were generally inhumed in individual graves, frequently together with lavish objects. Many graves were interfered with soon after burial. While disturbed graves have elsewhere been seen as an inferior source of evidence, this project argues that these interventions are important sources for early medieval practices relating to the dead. Investigating cemeteries and out-of-cemetery contexts in four central- and eastern European regions it pursues the following objectives: 1. Investigating the range of practices and contexts in the archaeological records. 2. Analysing textual perspectives in diverse genres. 3. Synthesising material and textual perspectives via an innovative technical solution for semantic integration of data. The methodological objectives for achieving the archaeological goals are: 1. Consolidation of methods and development of research protocols. 2. Development of strategies to mitigate deficiencies of archaeological data. The development of digital tools, moving from high- to low resolution evidence, will be novel and key to the approach.

The project will significantly contribute to our understanding of the relationship between the living and the dead in early medieval Europe.",Edeltraud Aspoeck,"University of Graz [999873188,AT]",Austria,Südösterreich (AT2),101089324,ERC-2022-COG,Consolidator Grants,Social sciences & humanities (SH),SH6 - The Study of the Human Past,2022,2023-09-01 00:00:00,2028-08-31 00:00:00,1965598,https://cordis.europa.eu/project/id/101089324
Horizon 2020,GHOST,"Geographies and Histories of the Ottoman Supernatural Tradition
Exploring Magic, the Marvelous, and the Strange in Ottoman Mentalities
","The project aims to explore Ottoman notions and belief systems concerning the supernatural. Its major objectives will be to explore the meaning and content of the perceptions of the “supernatural”, to localize such beliefs in the various Ottoman systems of thought, to analyze the changes that took place and to associate them with emerging or declining layers of culture and specific social groups. The project will address larger debates in recent historiography about the relevance of the “disenchantment” and “enlightenment” paradigms, integrating Ottoman intellectual history into the broader early modern cultural history.
The research team, composed of the PI, three post-doctoral fellows, four collaborating researchers, five post-graduate students and a technical assistant, will explore these objectives and produce a web portal (containing crowd-sourced dictionaries and bibliographies, open access papers and other material), three international meetings, monographs and papers, and an annual open-access periodical journal. Specific research modules will study the rationalist trends in Ottoman science, various aspects of the Ottoman occult and magic, and the formation and development of the Ottoman cosmological culture. A monograph will be written by the PI and dwell in: the various conceptions of the supernatural/preternatural and their development, the presence of spirits/jinn in Ottoman world image, theory and practice of Ottoman magic, attitudes toward folklore traditions, saintly miracles, and “marvelous geographies”. Monographs will also be produced by the post-doctoral fellows.
The project proposes an innovative approach in many ways, in a subject very much in the frontiers of the field; by exploring the supernatural and the occult in the context of the Ottoman Weltanschauung, the project will address a wider problématique on the Ottoman culture and its place in early modernity, especially as it will focus to the role of different cultural and social layers.",Marinos Sarigiannis,"Foundation for Research and Technology Hellas [999995893,EL]",Greece,"Νησιά Αιγαίου, Κρήτη (EL4)",771766,ERC-2017-COG,Consolidator Grants,Social sciences & humanities (SH),SH6 - The Study of the Human Past,2017,2018-03-01 00:00:00,2024-08-31 00:00:00,1289737.75,https://cordis.europa.eu/project/id/771766
Horizon 2020,TextileLab,"Race to the bottom? Family labour, household livelihood and consumption in the relocation of global cotton manufacturing, ca. 1750-1990","Globalization and the shift of industries and jobs to low-wage countries are topical political issues, but have deep historical roots. For long, cotton manufacturing has been central in global trade and industrial relocation. Textile production has existed almost everywhere, but its major export centres have relocated in the past 250 years, notably from Asia to Europe/the US, then back to Asia. When and why these shifts occur is however still poorly understood. Reducing labour costs has been argued to be central in this ‘race to the bottom’, but this does not explain why textile production was resilient in some regions and periods, and not in others.
This project explores the macro-economic global relocation of textile production from a micro-level perspective: households’ labour and consumption decisions. It proposes an in-depth comparative study of changes in labour allocation and consumption at the household level, to deepen macro-level studies on global textile production. Its main question is to what extent, and how, gender divisions of work, households’ multiple livelihood strategies, and local consumption patterns have influenced the continuation and disappearance of textile manufacturing over time and space? Its empirical contribution is a systematic long-term global comparison of nominal and real textile wages in the context of total household income. Its methodological innovation is to comparatively study labour costs, skill formation and income over time from the micro- perspective of the household, using quantitative and qualitative approaches from several academic fields. Its analytical value is to study interactions between causal mechanisms on the macro-economic level (markets, institutions) and the location of textile manufacturing, with households’ production and consumption choices. This lends workers and households the agency that most studies have overlooked, thus offering new explanations for the global division of labour.",Elisabeth (Elise) Van Nederveen Meerkerk,"Utrecht University [999985805,NL]",Netherlands,West-Nederland (NL3),771288,ERC-2017-COG,Consolidator Grants,Social sciences & humanities (SH),SH6 - The Study of the Human Past,2017,2018-10-01 00:00:00,2024-03-31 00:00:00,1999250,https://cordis.europa.eu/project/id/771288
Horizon 2020,CROSSROADS,Human Evolution at the Crossroads,"The most important open questions in European paleoanthropology concern the timing, number and origin of early human dispersals into the continent, the identity and number of taxa present, and their possible interactions. These issues remain unresolved partly due to the lack of research in South-East Europe, a region at the crossroads between continents and a refugium for fauna, flora and possibly human populations during glacial times. The PI’s previous work there (ERC StG PaGE) aimed to add new evidence to further our understanding of human evolution on the continent. PaGE led to the discovery of several new Paleolithic sites, including the oldest radiometrically dated archaeological site from South-East Europe, placing the region squarely in the Paleolithic map of Europe.  
CROSSROADS is an ambitious, groundbreaking research program that builds on the foundation of PaGE to take Paleolithic research in the region to a new level. In contrast to the exploratory goals of PaGE, it focuses on the early part of the Paleolithic targeting the following questions: Can human presence in South-East Europe, considered a major dispersal route into the continent from Africa and the Near East, be documented beyond the current known chronology of ca. 500 ka BP, as shown in the West? Is there a gap between the earliest human arrival and subsequent human activity in the region, or was human habitation continuous, as would be expected in a refugium? What was the environmental backdrop of the early human dispersal and subsequent evolution? How did behavioral / biological change correlate with environmental changes, chronology and landscape use? Can we document a higher level of diversity in the human fossil record of the region than would be expected under evolutionary scenarios developed on Western European evidence, suggesting that different evolutionary processes were at work? The answers to these questions will be essential for testing hypotheses about human evolution in Eurasia.",Aikaterini Charvati,"University of Tuebingen [999991916,DE]",Germany,Baden-Württemberg (DE1),724703,ERC-2016-COG,Consolidator Grants,Social sciences & humanities (SH),SH6 - The Study of the Human Past,2016,2017-04-01 00:00:00,2022-03-31 00:00:00,1999250,https://cordis.europa.eu/project/id/724703
